word,no,yes
absolutely,0.0027472527472527475,0
account,0.0027472527472527475,0.002638522427440633
acount,0,0.002638522427440633
add,0.0027472527472527475,0
adhd,0.0027472527472527475,0
admire,0,0.002638522427440633
admit,0.0027472527472527475,0.005277044854881266
adult's,0,0.002638522427440633
adults,0,0.002638522427440633
afraid,0,0.002638522427440633
afternoon,0.0027472527472527475,0
agree,0.0027472527472527475,0.002638522427440633
agreed,0,0.002638522427440633
alcoholics,0,0.002638522427440633
alive,0.0027472527472527475,0
alligators,0.0027472527472527475,0
alright,0.0027472527472527475,0
amazing,0.0027472527472527475,0.002638522427440633
amen,0.0027472527472527475,0
amends,0.005494505494505495,0
american,0,0.002638522427440633
amounts,0.0027472527472527475,0
analyst,0,0.002638522427440633
andy,0,0.002638522427440633
answer,0,0.002638522427440633
anxiety,0,0.002638522427440633
anymore,0.0027472527472527475,0
apologize,0.0027472527472527475,0
applying,0,0.002638522427440633
assassins,0,0.002638522427440633
assignation,0,0.002638522427440633
assume,0,0.005277044854881266
attempt,0.0027472527472527475,0
attempted,0,0.002638522427440633
attention,0.005494505494505495,0
average,0.0027472527472527475,0
awesome,0.0027472527472527475,0
awkward,0,0.002638522427440633
bad,0.0027472527472527475,0.005277044854881266
balanced,0,0.002638522427440633
banksy,0,0.002638522427440633
bashing,0.0027472527472527475,0
beautiful,0,0.002638522427440633
bed,0.0027472527472527475,0
bet,0,0.002638522427440633
bipolar,0.0027472527472527475,0
bit,0.0027472527472527475,0.002638522427440633
bjsyd,0,0.002638522427440633
bold,0.0027472527472527475,0
bored,0,0.002638522427440633
boy,0,0.002638522427440633
brain,0.005494505494505495,0.0079155672823219
brains,0,0.002638522427440633
break,0,0.002638522427440633
breakingnews,0.0027472527472527475,0
bride,0.0027472527472527475,0
bringing,0.0027472527472527475,0
bunch,0.0027472527472527475,0.002638522427440633
business,0,0.002638522427440633
bvtoydmzsl,0,0.002638522427440633
bwahahahaha,0,0.002638522427440633
c,0,0.002638522427440633
call,0.0027472527472527475,0.002638522427440633
called,0,0.002638522427440633
card,0,0.005277044854881266
care,0.0027472527472527475,0
carefully,0.0027472527472527475,0
cares,0,0.002638522427440633
cautious,0.0027472527472527475,0
ccrw,0,0.002638522427440633
change,0,0.002638522427440633
character,0,0.005277044854881266
chasten,0,0.002638522427440633
child,0,0.0079155672823219
choice,0.0027472527472527475,0
choir,0,0.002638522427440633
chose,0.005494505494505495,0.002638522427440633
citizens,0,0.002638522427440633
claim,0,0.002638522427440633
coffee,0,0.002638522427440633
colbert,0.0027472527472527475,0
complete,0,0.002638522427440633
confinement,0,0.002638522427440633
confused,0,0.002638522427440633
congress,0,0.002638522427440633
consciousness,0,0.002638522427440633
conspiracy,0.0027472527472527475,0
constitution,0,0.002638522427440633
control,0.0027472527472527475,0.002638522427440633
convincing,0.0027472527472527475,0
cost,0,0.002638522427440633
costs,0,0.002638522427440633
counsel,0.0027472527472527475,0
count,0.0027472527472527475,0
country,0,0.0079155672823219
courage,0,0.002638522427440633
crap,0.0027472527472527475,0.002638522427440633
craziness,0.0027472527472527475,0
crazy,0.008241758241758242,0.0079155672823219
dad,0.005494505494505495,0
day,0.005494505494505495,0
days,0.005494505494505495,0
dead,0.013736263736263736,0
decided,0.005494505494505495,0.002638522427440633
deep,0.0027472527472527475,0
defend,0,0.002638522427440633
defense,0.0027472527472527475,0
depressed,0,0.002638522427440633
depression,0,0.005277044854881266
dibs,0.0027472527472527475,0
didn,0,0.002638522427440633
difference,0.0027472527472527475,0.002638522427440633
differentiate,0.0027472527472527475,0
disability,0.005494505494505495,0.005277044854881266
disabled,0,0.002638522427440633
disappointed,0.0027472527472527475,0
dm,0,0.002638522427440633
dm'ing,0,0.002638522427440633
documentation,0.0027472527472527475,0
don,0,0.002638522427440633
draining,0.0027472527472527475,0
dreams,0.0027472527472527475,0
drinking,0.0027472527472527475,0
dtotlaro,0,0.002638522427440633
dude,0,0.002638522427440633
due,0,0.002638522427440633
dwyer,0,0.002638522427440633
dytmtvolsx,0.0027472527472527475,0
