localID,id,TweetText,time,impressions,engagements,retweets,replies,likes,year,month,day,hour,effective
1,92800001,"@TEDTalks @jonnysun I AGREE 100%  I gave up being lonely.  I had to really try and be confident and ask for what I secretly knew I needed.  A service dog.  Well, in training.  His name is Scout.  And I think he is one day going to meet @POTUS @realDonaldT",2019-06-30 16:02 +0000,525,9,0,0,1,2019,6,30,16,yes
2,92800002,"@elonmusk  Good Morning, Mr. Musk.  You are probably awake because I read that you hardly sleep because you are always working.  Good Job on living out your dreams.  Shooting a car that you helped create into space on a rocket you helped create?  FRIGGIN'",2019-06-30 15:59 +0000,86,0,0,0,0,2019,6,30,15,no
3,92800003,Oh and @Twitter and @theadlines.  Twitter is WAY more interesting than I thought.  I had to learn twitter to pass my computer programming class.  And I thought it was going to be kinda boring.  I was wrong.  This is actually FUN!,2019-06-30 15:57 +0000,204,0,0,0,0,2019,6,30,15,no
4,92800004,"@senschumer @amyschumer  I looked it up because your names are the same.  Turns out you are related!  CRAZY.  Hey Chuck, how American does my dog Scout look?  On scale of 1-10. https://t.co/HF93WkRxLq",2019-06-30 15:54 +0000,49,2,0,0,1,2019,6,30,15,yes
5,92800005,"@amyschumer I forgot to tell you.  My girlfriend thinks I am ""on the spectrum.""  But that doesn't stop me from being a pretty decent cook.  She really thinks you are funny.  I do too.  Even the part about French guys and the magic trick with all the cloth",2019-06-30 15:49 +0000,31,0,0,0,0,2019,6,30,15,no
6,92800006,"@POTUS @realDonaldTrump Oh, and in 2020.  Can we update your slogun to Make America Fun Again!  I am not saying it's the best idea.  But America has worked pretty hard to get better.  And so maybe we need to play a little.  Just sayin'",2019-06-30 15:45 +0000,35,0,0,0,0,2019,6,30,15,no
7,92800007,"@POTUS @realDonaldTrump  I am a good listener!  But I am also determined.  I don't quit if I believe in something!  Even if it seems a little crazy.

Do you think Scout and I would have won the apprentice with that attitude?

Because I do!",2019-06-30 15:43 +0000,46,0,0,0,0,2019,6,30,15,no
8,92800008,@POTUS @realDonaldTrump @PeteButtigieg But I heard about the debates.  And everyone was mean to you.  And I think Pete would be okay with me telling you the GOOD things you do.  Because it's important to tell people the truth.  While also being kind.  Rig,2019-06-30 15:40 +0000,49,1,0,0,0,2019,6,30,15,yes
9,92800009,"@POTUS @realDonaldTrump Oh, and that was REALLY clever to pick up on people wanting to Make America Great Again.  Because Americans REALLY want that.  And yes, I already tried applying to @PeteButtigieg .  #UnderDogsRule",2019-06-30 15:38 +0000,45,0,0,0,0,2019,6,30,15,no
10,92800010,@erinsorensen I am teaching Scout how to be gentle when I ask him to be.  I want him to meet my grandma.  But he is a puppy and gets too excited.  Kinda like my brain.  I think it's working!,2019-06-30 15:33 +0000,25,0,0,0,0,2019,6,30,15,no
11,92800011,"@SuddenlyZen That is amazing advice.  You do your best.  I told @POTUS and @PeteButtigieg that exact same thing today.  Well, using my words instead.  But someone needs to cheer them on!  So, why not Scout and Me?  2 cheer leaders! https://t.co/S1RuebYxPg",2019-06-30 15:31 +0000,202,1,0,0,1,2019,6,30,15,yes
12,92800012,"@PeteButtigieg Good Morning, Pete!  I think you should ask @AOC  for her endorsement.  She gets it.  But she is too young to be president.  I already reached out to her.  Oh... I should ask you more about Chasten.",2019-06-30 15:28 +0000,48,0,0,0,0,2019,6,30,15,no
13,92800013,"@POTUS @realDonaldTrump Oh, and if we ever meet... I want to tell you about the time I stopped worrying about what everyone else thought.  And dared find my emotions.  It was SERIOUSLY weird.",2019-06-30 15:26 +0000,46,0,0,0,0,2019,6,30,15,no
14,92800014,"@POTUS @realDonaldTrump Oh, and don't let people tell you that you shouldn't go golfing or relax ever.  That's silly.  You are the PRESIDENT!  Of course you should try and relax at times.  When you are relaxed... you are pretty cool!",2019-06-30 15:24 +0000,36,0,0,0,0,2019,6,30,15,no
15,92800015,"@POTUS @realDonaldTrump I hope you will forgive me.  I have to go now, Scout pooped in my living room again... which tells me he doesn't understand what I have been trying to tell him.  Good luck today!",2019-06-30 15:22 +0000,30,0,0,0,0,2019,6,30,15,no
16,92800016,"@POTUS @realDonaldTrump Good Morning, Mr. President!  I hope you slept well!  I changed my mind about you.  And I really want to apologize to you.

I judged you too harshly.  When I should have been a better listener.",2019-06-30 15:21 +0000,25,0,0,0,0,2019,6,30,15,no
17,92800017,HEY AMERICA!!!  @TIME Get's it!  I want to tell people that my dog is my mirror... That is the REAL reason he helps me.  I can tell what my emotional state is by how he acts.  That's how I got him mostly trained in 2 weeks.  Read my twitter for details. https://t.co/x68It7E8LP,2019-06-30 05:32 +0000,301,0,0,0,0,2019,6,30,5,yes
18,92800018,"@amyshumer  My girlfriend loves you.  And she has something to tell you.  But she keeps putting it off.  Can you maybe reach out to her?

Also, here is my dog! https://t.co/lvDoOwxgB4",2019-06-30 05:30 +0000,123,3,0,0,1,2019,6,30,5,yes
19,92800019,"@AOC I ask this because I think I can trust you.  You dreamed big.  

That's a good sign.",2019-06-30 05:28 +0000,25,0,0,0,0,2019,6,30,5,no
20,92800020,"@AOC   I need your help!  I am a really nice person.  And I can prove it.  Here is my trusty dog scout.

Read my profile for details.  It's too long to say here. https://t.co/1pPWWeYEXM",2019-06-30 05:27 +0000,71,0,0,0,0,2019,6,30,5,no
21,92800021,"@PeteButtigieg Hey Pete!  Me again.  I applied to your campaign weeks ago and haven't heard back yet.  

I REALLY want to tell you why Scout thinks you are going to be in president.  But I can't do that if we don't meet.  It's kinda important. Hint-hint.",2019-06-30 05:20 +0000,64,0,0,0,0,2019,6,30,5,no
22,92800022,"@cnnbrk @CNN @cnni @CNNPolitics @FoxNews @MSNBC @BBCWorld 

Hey News Networks... just as a heads up... I am going to announce my truth here on twitter.  Because... well, I need to sleep on it to make sure that I am not crazy.

But I secretly suspect that",2019-06-30 05:11 +0000,97,1,0,0,0,2019,6,30,5,yes
23,92800023,"Hey, can we be twitter friends?  I also went to UNL.  GO BIG RED!!! https://t.co/6wsUPe2cEl",2019-06-30 04:58 +0000,291,0,0,0,0,2019,6,30,4,no
24,92800024,"@POTUS   @realDonaldTrump 

Being president is probably stressful.  So this might make you smile.  His name is Scout.  And he's prepared for the 4th of July! 

You would like him bunches!  Also, I am sorry if I ever was mean.  I kinda want to meet you.  S",2019-06-30 04:54 +0000,82,1,0,0,1,2019,6,30,4,yes
25,92800025,@erinsorensen That's good advice!  You sound SUPER prepared.  I bet you if you also practiced being relaxed together before hand... your dog might feel more prepared.  Dogs are cool. https://t.co/7WhVuRbPX2,2019-06-30 04:44 +0000,56,2,0,1,0,2019,6,30,4,yes
26,92800026,"@PeteButtigieg My amazing girlfriend told me to go early.  I trust her.  So I am going to do it.  I got lucky, Pete.  I committed to a life worth living... and I learned to start trusting in something...",2019-06-30 04:40 +0000,42,0,0,0,0,2019,6,30,4,no
27,92800027,"@PeteButtigieg Pete... that should be a cue that someone is trying to trick us.  Looks like a hug.  Yeah.  Not a hug.  And I know a thing or two about that.

#SoNotAHug",2019-06-30 04:36 +0000,41,0,0,0,0,2019,6,30,4,no
28,92800028,"@PeteButtigieg For the first week, he was a CRAZY dog.  He pooped every where.  He jumped on EVERYTHING.  This one time he tried to give me a hug.  SO not a hug.  It was a trick.",2019-06-30 04:34 +0000,49,0,0,0,0,2019,6,30,4,no
29,92800029,"@PeteButtigieg I decided I was going be BOLD and be a professional PTSD dog trainer.  Because I am one.  How can I prove it?  Well, yeah he's been rehomed more than once... and... this is embarassing.",2019-06-30 04:32 +0000,65,0,0,0,0,2019,6,30,4,no
